title,cpe_version,part,vendor,product,version,cve_update,edition,language,sw_edition,target_sw,target_hw,other
Intel Core i5-3337U,2.3,h,intel,core_i5-3337u,-,*,*,*,*,*,*,*
VMware Spring Integration 2.2.4,2.3,a,vmware,spring_integration,2.2.4,*,*,*,*,*,*,*
Highlight 2.8.0 for Node.js,2.3,a,highlight,highlight,2.8.0,*,*,*,*,node.js,*,*
NoScript 1.7.8.4,2.3,a,noscript,noscript,1.7.8.4,*,*,*,*,*,*,*
Intel Converged Security Management Engine Firmware (CSME) 11.8.55,2.3,o,intel,converged_security_management_engine_firmware,11.8.55,*,*,*,*,*,*,*
Mesa 3d Mesa 18.1.5,2.3,a,mesa3d,mesa,18.1.5,*,*,*,*,*,*,*
WhatsApp 2.17.4 for iPhone OS,2.3,a,whatsapp,whatsapp,2.17.4,*,*,*,*,iphone_os,*,*
SiCKRAGE 9.4.208 Dev4,2.3,a,sickrage,sickrage,9.4.208,dev4,*,*,*,*,*,*
Snyk CLI 1.3.0,2.3,a,snyk,snyk_cli,1.3.0,*,*,*,*,*,*,*
Oracle Revenue Management and Billing 2.7.0.0,2.3,a,oracle,revenue_management_and_billing,2.7.0.0,*,*,*,*,*,*,*
Semper Plugins All in One SEO Pack 1.3.8.6 for WordPress,2.3,a,semperplugins,all_in_one_seo_pack,1.3.8.6,*,*,*,*,wordpress,*,*
Kaine Wise Chat 2.9.5 for Wordpress,2.3,a,kaine,wise_chat,2.9.5,*,*,*,*,wordpress,*,*
The Journeyman Press JPress 0.0.3,2.3,a,jpress,jpress,0.0.3,*,*,*,*,*,*,*
Jenkins Bitbucket Branch Source 2.9.11.2 for Jenkins,2.3,a,jenkins,bitbucket_branch_source,2.9.11.2,*,*,*,*,jenkins,*,*
Postieplugin Postie 1.1 for WordPress,2.3,a,postieplugin,postie,1.1,*,*,*,*,wordpress,*,*
gRPC 1.4.2 for Node.js,2.3,a,grpc,grpc,1.4.2,*,*,*,*,node.js,*,*
PyPDF2 Project PyPDF2 2.12.1,2.3,a,pypdf2_project,pypdf2,2.12.1,*,*,*,*,*,*,*
RPM librepo 1.7.17,2.3,a,rpm,librepro,1.7.17,*,*,*,*,*,*,*
Fedora 31,2.3,o,fedoraproject,fedora,31,*,*,*,*,*,*,*
Stripe CLI 1.2.0,2.3,a,stripe,stripe_cli,1.2.0,*,*,*,*,*,*,*
ThemePunch Slider Revolution for WordPress 4.2.2,2.3,a,themepunch,slider_revolution,4.2.2,*,*,*,*,wordpress,*,*
Sangoma FreePBX 16.0.56.27,2.3,a,sangoma,freepbx,16.0.56.27,*,*,*,*,*,*,*
NeuroML jLEMS 2.0 Low Entropy Model Specification,2.3,a,neuroml,jlems,2.0,*,*,*,*,lems,*,*
exceljs Project exceljs 1.12.1 for Node.js,2.3,a,exceljs_project,exceljs,1.12.1,*,*,*,*,node.js,*,*
Cube Cube.js 0.19.26 for Node.js,2.3,a,cube,cube.js,0.19.26,*,*,*,*,node.js,*,*
Intel ConnMan 1.24,2.3,a,intel,connman,1.24,*,*,*,*,*,*,*
Yop-poll Yop-poll 5.8.1 for Wordpress,2.3,a,yop-poll,yop-poll,5.8.1,*,*,*,*,wordpress,*,*
IBM Java 7.0.4.0 Service Refresh 4,2.3,a,ibm,java,7.0.4.0,*,*,*,*,*,*,*
OpenSolution Quick.Cms.Lite 0.5,2.3,a,opensolution,quick.cms.lite,0.5,*,*,*,*,*,*,*
LimeSurvey 2.00 Release Candidate 2 1205621,2.3,a,limesurvey,limesurvey,2.00,rc2-1205621,*,*,*,*,*,*
BOLDThemes Bold Page Builder 3.1.7 for WordPress,2.3,a,bold-themes,bold_page_builder,3.1.7,*,*,*,*,wordpress,*,*
